Name,DOB,SSN,Zip,Workclass,Education,Education-Num,Marital Status,Occupation,Relationship,Race,Sex,Hours per week,Country,Target,Age,Capital Gain,Capital Loss
Davidson Pierson,10/11/2009,786-68-6106,35171,Private,Some-college,10,Never-married,Sales,Not-in-family,White,Female,35,United-States,<=50K,14,0,0
Rafi Demsey,8/13/1979,563-78-3528,73299,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,50,United-States,<=50K,44,0,0
Theodora Geeritz,4/10/2004,656-98-0900,27196,Private,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,55,United-States,<=50K,19,0,0
Catlaina Pimlock,12/21/2010,553-39-7877,78812,Private,Bachelors,13,Never-married,Prof-specialty,Own-child,White,Female,38,United-States,<=50K,13,0,0
Georgia McKaile,1/27/1991,551-56-2057,3202,Private,11th,7,Never-married,Transport-moving,Not-in-family,Black,Male,40,United-States,<=50K,32,0,0
Wileen Skeel,11/5/2006,635-39-7743,66586,Private,12th,8,Widowed,Sales,Not-in-family,White,Female,30,United-States,<=50K,17,0,0
Ricky Francioli,12/8/1989,778-12-3405,40483,Local-gov,Some-college,10,Never-married,Protective-serv,Not-in-family,Black,Male,40,United-States,<=50K,34,0,0
Lynnelle Jaksic,8/10/1983,241-84-0188,14230,Federal-gov,Some-college,10,Married-civ-spouse,Tech-support,Husband,White,Male,40,Guatemala,>50K,40,7688,0
Damien Piddlesden,7/28/1957,287-67-7645,34023,Private,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,60,United-States,<=50K,66,0,0
Charlotte Hughes,9/20/2002,220-24-6641,41255,Private,HS-grad,9,Never-married,Machine-op-inspct,Own-child,White,Male,40,United-States,<=50K,21,0,1590
Cinnamon Farnish,9/16/2011,677-62-5835,12969,Private,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,40,United-States,<=50K,12,0,0
Wake Silvers,10/19/1962,329-01-8164,86381,Private,Assoc-acdm,12,Married-civ-spouse,Tech-support,Husband,White,Male,50,United-States,>50K,61,0,0
Terry Browncey,2/4/1981,395-56-3189,33035,Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,45,United-States,<=50K,42,0,0
Orly Toffler,11/28/1998,806-84-6655,7975,Private,Some-college,10,Married-civ-spouse,Transport-moving,Husband,White,Male,42,United-States,<=50K,25,0,0
Gilly Le Quesne,2/26/1996,871-65-3096,704,Private,Masters,14,Widowed,Prof-specialty,Not-in-family,White,Female,40,United-States,<=50K,27,0,0
Riley Cantrell,3/8/1953,268-99-7995,65450,Private,HS-grad,9,Divorced,Adm-clerical,Unmarried,White,Female,40,United-States,<=50K,70,0,0
Clemens Bentame,1/6/2008,617-63-5262,91307,Private,Some-college,10,Divorced,Farming-fishing,Not-in-family,White,Female,54,United-States,<=50K,15,0,1590
Arvie Jahnke,7/10/1957,550-11-4765,30492,Private,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,16,United-States,<=50K,66,0,0
Kate Walrond,12/4/1966,192-35-4661,75747,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,60,United-States,>50K,57,0,0
Vania Attwooll,1/22/2009,687-40-5403,85361,Private,Bachelors,13,Divorced,Adm-clerical,Unmarried,White,Female,40,United-States,<=50K,14,0,0
Horacio Walburn,5/3/2000,218-16-8317,33003,,12th,8,Never-married,,Not-in-family,White,Male,35,United-States,<=50K,23,0,0
Jere Casbon,12/10/1985,625-30-0656,63833,Private,HS-grad,9,Never-married,Tech-support,Other-relative,White,Male,40,United-States,<=50K,38,0,0
Dwayne James,12/24/1963,373-41-7588,89767,Private,HS-grad,9,Divorced,Adm-clerical,Unmarried,White,Female,40,United-States,<=50K,60,0,0
Tades Mateuszczyk,11/17/1984,867-28-7659,7967,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,>50K,39,0,0
Agathe Maffini,4/7/1968,192-76-6861,21244,Private,HS-grad,9,Never-married,Handlers-cleaners,Own-child,Black,Male,40,United-States,<=50K,55,0,0
Welby Chiplin,9/2/1989,275-47-8256,82680,Private,HS-grad,9,Divorced,Machine-op-inspct,Not-in-family,White,Female,40,United-States,<=50K,34,0,0
Sonja Geelan,3/25/1972,122-97-1850,54613,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,35,United-States,>50K,51,0,0
Celina Mearing,4/10/1974,149-65-4948,24483,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,United-States,>50K,49,0,0
Charmane Edler,3/31/1953,165-88-0339,94579,,HS-grad,9,Widowed,,Not-in-family,Black,Female,30,United-States,<=50K,70,0,0
Gaylene Shreeves,5/20/1973,637-55-2062,55570,Private,HS-grad,9,Widowed,Craft-repair,Unmarried,White,Female,40,United-States,<=50K,50,0,0
Sarine Varney,11/15/1954,265-42-5374,87390,Private,HS-grad,9,Separated,Other-service,Not-in-family,White,Male,40,United-States,<=50K,69,0,0
Marinna Peet,5/8/1969,304-91-7465,85818,Local-gov,HS-grad,9,Divorced,Adm-clerical,Unmarried,White,Female,62,United-States,<=50K,54,0,0
Jeremiah Noquet,6/28/1967,111-82-8282,19997,Private,HS-grad,9,Separated,Other-service,Unmarried,White,Female,47,United-States,<=50K,56,0,0
Ellery Benardette,5/14/1995,684-25-9975,78706,Self-emp-inc,Assoc-voc,11,Married-civ-spouse,Sales,Husband,Other,Male,84,Mexico,<=50K,28,0,2179
Constantin Shieldon,12/14/1980,378-99-6484,35717,Private,Some-college,10,Never-married,Adm-clerical,Own-child,White,Male,26,United-States,<=50K,43,0,0
Yulma Gristwood,3/21/1990,603-98-1507,39864,Private,11th,7,Never-married,Machine-op-inspct,Not-in-family,Black,Female,40,United-States,<=50K,33,0,0
Neilla Mumford,10/5/1952,890-57-0469,71833,Private,Assoc-voc,11,Separated,Adm-clerical,Unmarried,White,Female,40,United-States,<=50K,71,0,0
Whitaker Hutchcraft,11/15/1950,539-94-9917,94285,Private,5th-6th,3,Married-spouse-absent,Craft-repair,Other-relative,White,Male,40,Mexico,<=50K,73,0,0
Estella Dmitrichenko,12/9/1968,433-33-4040,57957,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,40,Germany,<=50K,55,0,0
Odetta Ankers,9/9/1962,386-94-2602,11917,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,White,Female,40,United-States,>50K,61,0,0
Dennis Guite,4/15/1984,155-68-6872,30839,Private,HS-grad,9,Married-spouse-absent,Farming-fishing,Not-in-family,Other,Male,40,Mexico,<=50K,39,0,0
Greer Imm,12/14/1962,151-08-6388,53783,,Some-college,10,Never-married,,Not-in-family,White,Female,25,United-States,<=50K,61,0,1719
Yule Domniney,2/10/2000,329-61-1776,69308,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,40,United-States,<=50K,23,0,0
Carleen Garwood,6/24/1957,377-05-4968,96729,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,45,United-States,>50K,66,7688,0
Alta Knightley,6/23/2007,486-85-5262,60189,Private,11th,7,Never-married,Handlers-cleaners,Unmarried,White,Male,20,United-States,<=50K,16,0,0
Mollie Greenway,8/20/1985,522-29-3763,93400,Private,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,40,United-States,<=50K,38,0,0
Kai Jupe,6/4/2000,681-10-0909,94194,Private,Assoc-voc,11,Never-married,Adm-clerical,Own-child,White,Female,40,United-States,<=50K,23,0,0
Dennet Kleinstein,7/26/1955,584-91-6422,24253,Private,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,52,Dominican-Republic,<=50K,68,3325,0
Frasco Learmouth,2/8/2002,673-54-3015,99165,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,40,United-States,>50K,21,0,0
Denver Rollin,3/4/1994,506-72-6664,81903,Private,Masters,14,Never-married,Exec-managerial,Not-in-family,White,Male,40,United-States,>50K,29,0,0
Fairleigh Hatwells,9/5/1953,209-72-0616,44795,Self-emp-inc,Bachelors,13,Married-civ-spouse,Sales,Wife,White,Female,40,United-States,>50K,70,0,0
Sonny Haglington,4/8/1963,195-87-0948,92945,Private,11th,7,Never-married,Priv-house-serv,Other-relative,White,Female,40,Mexico,<=50K,60,0,0
Rose Beddow,1/22/1972,588-06-4163,97602,Private,10th,6,Never-married,Other-service,Own-child,Black,Female,32,United-States,<=50K,51,0,0
Clarence O'Keeffe,7/19/1986,534-56-7020,32611,Private,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,United-States,<=50K,37,0,0
Ora Hulse,2/25/1996,105-26-2350,38114,Private,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,25,United-States,<=50K,27,0,0
Saundra Bezzant,8/31/1972,697-28-8737,1807,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,United-States,>50K,51,0,0
Adolpho Aland,6/6/1954,701-91-7516,46694,Private,11th,7,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,United-States,<=50K,69,0,0
Lenna Grix,12/1/1955,610-46-7660,57786,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,United-States,<=50K,68,5013,0
Corliss Faber,3/10/1954,397-43-5487,96056,Self-emp-not-inc,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,70,United-States,>50K,69,99999,0
Seana Olivetti,2/6/1988,316-11-4947,7189,Private,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,United-States,<=50K,35,0,0
Chrysler Ismay,10/2/2007,836-35-5047,56976,Private,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,60,United-States,<=50K,16,0,0
Dot Frisch,7/15/1957,606-46-5505,72419,,Some-college,10,Never-married,,Own-child,White,Male,35,United-States,<=50K,66,0,0
Justinn Franks,3/11/1994,607-48-8520,72405,Private,HS-grad,9,Separated,Other-service,Own-child,White,Female,35,United-States,<=50K,29,0,0
Langston Gannicott,12/22/2006,217-73-7240,99592,Private,HS-grad,9,Divorced,Tech-support,Unmarried,White,Female,40,United-States,<=50K,17,0,0
Kristoforo Wolfenden,7/18/1957,359-25-2340,97732,Private,10th,6,Married-civ-spouse,Craft-repair,Husband,White,Male,45,United-States,<=50K,66,0,0
Gilbertine Merrell,7/16/1997,662-74-1362,3899,Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,54,United-States,<=50K,26,0,0
Elfrida Germon,2/2/2004,401-73-1742,87952,Self-emp-not-inc,10th,6,Married-civ-spouse,Transport-moving,Husband,Black,Male,50,United-States,<=50K,19,0,0
Georges Bathow,4/15/1955,225-16-6603,28245,Private,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,40,United-States,<=50K,68,0,0
Steffane Varden,8/15/1973,162-57-7376,37005,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,60,United-States,<=50K,50,0,0
Alverta Crosser,6/3/2003,557-40-6611,3339,Private,HS-grad,9,Separated,Adm-clerical,Unmarried,White,Female,40,United-States,<=50K,20,0,0
Pooh Fisbey,12/30/1969,676-65-5805,73705,Private,9th,5,Never-married,Machine-op-inspct,Unmarried,Other,Male,40,Mexico,<=50K,54,0,0
Biddie Townby,6/17/1955,884-71-7082,53975,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,United-States,>50K,68,0,0
Harwell Manketell,2/18/1994,767-03-8713,47172,Self-emp-not-inc,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,>50K,29,0,0
Xenos Venus,10/19/1952,726-10-7521,90903,Private,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K,71,0,0
Neilla Canelas,11/21/1961,253-48-9825,83597,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Wife,Black,Female,40,United-States,>50K,62,15024,0
Zarah Imason,1/20/1983,578-58-1765,69112,Private,10th,6,Married-civ-spouse,Transport-moving,Husband,White,Male,40,United-States,<=50K,40,0,0
Xenia Kendle,9/15/2011,645-79-3977,16228,Private,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,40,Columbia,<=50K,12,3464,0
Walker Caldes,11/29/2001,603-64-8295,89176,,HS-grad,9,Married-spouse-absent,,Not-in-family,White,Male,20,United-States,>50K,22,0,0
Eleonore Orr,9/22/1981,745-94-2629,33624,Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Farming-fishing,Husband,White,Male,40,United-States,>50K,42,0,0
Flin Phillput,4/27/1989,809-46-0024,23468,Private,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,60,Iran,>50K,34,15024,0
Klemens Dallender,12/26/1980,158-53-8010,81894,Private,Doctorate,16,Widowed,Prof-specialty,Unmarried,White,Male,40,Iran,>50K,43,15020,0
Francisco Taylo,11/29/1961,654-99-0209,64119,Private,Some-college,10,Never-married,Other-service,Own-child,White,Female,20,United-States,<=50K,62,0,0
Christal Hathaway,2/3/1990,521-41-6246,69678,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,45,United-States,<=50K,33,0,0
Ax Domican,5/21/1994,740-45-6417,17815,Private,Assoc-voc,11,Married-civ-spouse,Farming-fishing,Husband,White,Male,45,United-States,<=50K,29,0,0
Ileane Danat,2/11/2010,349-72-3489,59759,Private,HS-grad,9,Never-married,Other-service,Own-child,White,Female,30,United-States,<=50K,13,0,0
Darlleen Mouget,5/30/1962,840-25-3066,77488,Self-emp-inc,Prof-school,15,Separated,Prof-specialty,Not-in-family,White,Male,40,United-States,>50K,61,0,0
Evvy Kennan,4/4/1982,880-02-6178,61805,State-gov,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Female,40,United-States,<=50K,41,0,0
Ingeberg Campion,12/22/1973,856-33-7281,72029,Federal-gov,HS-grad,9,Never-married,Machine-op-inspct,Own-child,Black,Male,40,United-States,<=50K,50,0,0
Sean Hazael,5/6/1983,810-69-5990,84315,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,United-States,>50K,40,0,0
Beltran Howieson,12/31/1997,226-50-1018,49844,Private,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,Black,Male,60,United-States,<=50K,26,0,0
Farlay Grinvalds,9/3/2000,319-49-0549,60005,Self-emp-not-inc,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K,23,0,0
Alice Skrines,7/12/1969,879-37-2431,18710,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,>50K,54,0,0
Tarrah McGrotty,9/24/1987,865-28-6616,30514,,HS-grad,9,Married-civ-spouse,,Husband,Black,Male,18,United-States,<=50K,36,0,0
Blisse Jinks,3/6/2005,447-25-4686,96584,Private,11th,7,Never-married,Farming-fishing,Not-in-family,White,Male,50,United-States,<=50K,18,0,0
Abran Janaud,3/9/2007,388-18-9910,18448,Private,5th-6th,3,Married-civ-spouse,Adm-clerical,Husband,White,Male,40,Mexico,<=50K,16,0,0
Ronalda Earle,12/19/1986,147-58-0811,30169,Local-gov,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,United-States,<=50K,37,0,0
Aylmer Denisovo,4/24/1965,265-72-8806,99328,Private,Assoc-voc,11,Married-civ-spouse,Machine-op-inspct,Husband,Amer-Indian-Eskimo,Male,40,United-States,<=50K,58,0,0
Murry Blackway,2/9/1986,523-18-5225,96621,Private,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,United-States,>50K,37,0,0
Devora Kleinerman,10/18/1981,775-75-4965,85234,Private,Assoc-acdm,12,Married-civ-spouse,Sales,Husband,White,Male,50,United-States,>50K,42,0,0
Bethena Keppie,1/31/2003,190-69-7354,24115,Private,9th,5,Separated,Handlers-cleaners,Unmarried,Black,Female,50,United-States,<=50K,20,0,0
Eadith Metcalfe,1/17/1955,535-02-7992,11591,Federal-gov,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,United-States,>50K,68,0,0
Faulkner Shere,10/4/2007,173-20-3610,46696,Private,Some-college,10,Never-married,Machine-op-inspct,Not-in-family,Black,Female,30,United-States,<=50K,16,0,0
Raven Presslie,5/18/1989,369-70-5959,21455,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,United-States,<=50K,34,2885,0
Vladimir Guage,6/7/1992,802-29-3563,85803,Private,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,60,United-States,>50K,31,7298,0
Farrah Huckerby,4/12/2000,723-98-7469,89194,Self-emp-not-inc,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K,23,0,0
Fernandina Maro,1/18/1990,415-58-4040,68069,Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K,33,0,0
Kristoffer Yakebowitch,9/26/2006,186-69-0466,95352,Local-gov,HS-grad,9,Separated,Exec-managerial,Unmarried,White,Male,40,United-States,<=50K,17,0,0
Harrie Macbeth,3/12/2008,718-10-2251,16435,Private,Some-college,10,Never-married,Sales,Not-in-family,White,Female,25,United-States,<=50K,15,0,0
Marcelline Scranney,1/30/1979,746-25-7139,37458,State-gov,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,United-States,>50K,44,7688,0
Mattie Swafford,8/28/2004,368-41-7761,5688,Private,Some-college,10,Never-married,Exec-managerial,Not-in-family,White,Male,45,United-States,<=50K,19,0,0
Gris Oak,12/4/1962,820-32-5417,6081,Private,Some-college,10,Never-married,Other-service,Not-in-family,White,Male,50,United-States,<=50K,61,0,0
Ezequiel Brimman,7/31/2008,708-85-8943,96681,State-gov,HS-grad,9,Separated,Adm-clerical,Not-in-family,White,Female,40,United-States,<=50K,15,0,0
Perla Attwood,3/16/1995,482-05-3592,98446,Private,Assoc-voc,11,Divorced,Other-service,Not-in-family,White,Female,32,United-States,<=50K,28,0,0
Ester Raymont,7/15/1958,761-59-8311,55896,Private,Bachelors,13,Married-spouse-absent,Prof-specialty,Not-in-family,White,Male,40,United-States,<=50K,65,3325,0
Lyn Darwin,10/19/1969,607-81-2755,83659,Private,5th-6th,3,Married-civ-spouse,Farming-fishing,Husband,White,Male,36,Mexico,<=50K,54,0,0
Kendra Sibbson,7/10/1977,882-24-9908,93353,Private,Assoc-acdm,12,Never-married,Other-service,Own-child,White,Male,20,United-States,<=50K,46,0,0
Helen Bamlett,5/28/1954,208-64-3057,97520,Local-gov,Assoc-acdm,12,Divorced,Prof-specialty,Not-in-family,White,Male,59,United-States,<=50K,69,0,0
Stephie Ast,9/17/2000,555-12-1609,74974,Private,Masters,14,Married-civ-spouse,Sales,Husband,White,Male,40,United-States,<=50K,23,0,0
Tonia Lau,7/17/1965,652-92-5793,83332,Self-emp-inc,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,60,United-States,<=50K,58,0,0
Mord Cheney,9/9/2000,215-95-4251,49751,Private,Some-college,10,Never-married,Transport-moving,Own-child,White,Female,40,United-States,<=50K,23,0,0
Alon Tongue,12/14/1951,331-83-0816,58374,Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Tech-support,Wife,White,Female,50,United-States,>50K,72,0,0
Hewet Davidowsky,7/23/1985,791-47-8050,91360,Private,10th,6,Never-married,Sales,Own-child,White,Female,15,United-States,<=50K,38,0,0
Cross Pemble,3/18/1995,522-92-8106,18591,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,United-States,<=50K,28,0,0
Jeanelle Dowker,2/7/1970,727-26-3680,24635,Private,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,45,United-States,<=50K,53,0,0
Brannon Treasaden,10/29/1975,151-98-7949,92081,Private,HS-grad,9,Divorced,Other-service,Not-in-family,White,Female,38,United-States,<=50K,48,0,0
Ruperto Toulch,4/30/1967,189-85-0906,83922,Private,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,40,United-States,>50K,56,0,0
Dyann Muldrew,4/18/1960,560-95-6240,46141,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K,63,0,0
Valida Curgenven,3/22/1965,623-51-4145,89553,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,32,United-States,<=50K,58,0,0
Annelise Portriss,4/22/1974,180-35-4955,74731,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,50,United-States,>50K,49,0,0
Patrizius Boichat,7/6/1965,154-22-2687,86569,,Bachelors,13,Divorced,,Not-in-family,White,Female,50,United-States,<=50K,58,0,0
Gerard Dumbell,2/8/1967,726-94-2593,65821,Self-emp-inc,Some-college,10,Never-married,Prof-specialty,Not-in-family,White,Male,50,United-States,<=50K,56,0,0
Paquito Trownson,7/17/1994,374-55-3214,99795,Private,HS-grad,9,Never-married,Handlers-cleaners,Not-in-family,White,Male,43,United-States,<=50K,29,0,0
Shelby Morena,7/3/1953,889-29-4443,19347,Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,Black,Male,40,United-States,>50K,70,0,0
Maris Gillmor,8/5/1955,386-64-3893,3543,Private,10th,6,Never-married,Other-service,Other-relative,Amer-Indian-Eskimo,Male,40,Mexico,<=50K,68,0,0
Ezra Baigrie,1/9/1954,688-95-9196,64051,Private,Masters,14,Divorced,Prof-specialty,Not-in-family,White,Male,50,United-States,<=50K,69,0,0
Carla Abramamovh,6/16/1963,473-97-6934,53061,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,United-States,>50K,60,0,0
Rhoda Powell,10/20/2004,823-32-8004,38628,Private,Preschool,1,Married-civ-spouse,Farming-fishing,Husband,White,Male,40,Mexico,<=50K,19,0,0
Agatha Dossantos,3/16/1977,630-63-8152,54612,Private,12th,8,Married-civ-spouse,Craft-repair,Husband,White,Male,40,Italy,<=50K,46,0,0
Sayre McNiff,7/13/1962,355-17-0538,44125,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,55,El-Salvador,>50K,61,15024,0
Anabella Gillbey,12/25/1962,770-45-3396,20007,Local-gov,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Female,50,United-States,<=50K,61,0,0
Tedi Deverall,10/23/1962,468-06-7874,18121,Private,Assoc-voc,11,Divorced,Sales,Own-child,White,Male,50,United-States,<=50K,61,0,0
Onfroi Gibbieson,7/13/2000,752-90-5889,5650,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,White,Female,40,United-States,>50K,23,7688,0
Damon Craigmyle,11/26/1963,165-33-6587,11982,State-gov,Assoc-acdm,12,Never-married,Adm-clerical,Own-child,White,Female,40,United-States,<=50K,60,0,0
Harriott Millwater,10/10/1986,489-64-1084,15789,,HS-grad,9,Never-married,,Other-relative,Other,Female,12,United-States,<=50K,37,0,0
Tarra Tyhurst,1/16/1965,155-84-4390,75927,Local-gov,Bachelors,13,Divorced,Prof-specialty,Unmarried,Black,Female,40,United-States,<=50K,58,0,0
Winnifred Wrixon,2/23/1974,703-16-9776,55575,Private,Some-college,10,Never-married,Machine-op-inspct,Own-child,White,Male,40,United-States,<=50K,49,0,0
Whitney Torre,12/20/1979,117-52-2660,57751,,Some-college,10,Never-married,,Own-child,White,Female,20,United-States,<=50K,44,0,0
Jayne Coskerry,6/18/1961,444-03-0586,45967,Private,Some-college,10,Never-married,Prof-specialty,Own-child,White,Female,25,United-States,<=50K,62,0,0
Ninnette Docharty,12/8/1958,252-95-9464,93281,Private,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,40,United-States,<=50K,65,0,0
Gibbie Le febre,12/30/1996,846-82-4604,941,,HS-grad,9,Never-married,,Unmarried,White,Female,40,United-States,<=50K,27,0,0
Robinet Pearl,5/25/1966,425-40-8206,71022,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,>50K,57,0,0
Melba Oager,4/15/1954,276-31-5808,80074,Private,7th-8th,4,Widowed,Other-service,Unmarried,White,Female,20,,<=50K,69,0,0
Brigida Grishukov,12/28/1969,149-48-6221,52374,Private,HS-grad,9,Divorced,Transport-moving,Not-in-family,White,Male,55,United-States,<=50K,54,0,0
Elnore Gait,10/3/1984,202-46-5023,24985,Self-emp-inc,11th,7,Never-married,Prof-specialty,Own-child,White,Male,20,United-States,<=50K,39,0,0
Alberik Levesque,1/11/1988,740-34-1767,84451,Private,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,White,Male,50,United-States,>50K,35,7298,0
Brigit Harcourt,4/19/1993,578-95-2817,10211,Local-gov,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,40,United-States,<=50K,30,0,0
Perle Asman,9/12/1994,887-93-9519,56851,Private,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,55,United-States,>50K,29,0,0
Bette Cason,10/11/1996,863-23-8485,90067,Private,7th-8th,4,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,United-States,<=50K,27,0,0
Tarrance Burdess,12/9/1977,189-32-3666,5242,Local-gov,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,White,Female,20,United-States,>50K,46,0,0
Babbette Cradduck,3/11/1968,501-06-4638,48169,Private,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,60,United-States,<=50K,55,0,0
Baldwin Climson,11/16/2000,129-93-0193,98503,Private,10th,6,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,United-States,<=50K,23,0,0
Didi O'Brollachain,2/26/1979,885-81-8105,31454,Private,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,50,United-States,<=50K,44,0,0
Brear Paur,3/28/1968,481-20-2811,69686,Private,Bachelors,13,Never-married,Prof-specialty,Own-child,White,Female,40,United-States,<=50K,55,0,0
Sheilah Manuely,3/13/1963,430-03-1357,17983,Private,Some-college,10,Never-married,Other-service,Own-child,White,Male,20,United-States,<=50K,60,0,0
Moore Nockells,1/9/1976,153-58-7968,78428,Local-gov,Bachelors,13,Divorced,Prof-specialty,Unmarried,White,Female,48,United-States,<=50K,47,0,0
Rusty Howick,10/25/1959,477-95-9854,66449,Private,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,United-States,>50K,64,0,0
Ashil Trevers,2/17/1975,346-37-8924,50437,Private,11th,7,Never-married,Sales,Own-child,White,Male,35,United-States,<=50K,48,0,0
Odelia Di Francecshi,10/4/1981,128-36-5069,20895,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,40,United-States,>50K,42,4386,0
Kimble Mallard,11/17/2001,806-43-6079,57986,Private,Bachelors,13,Never-married,Sales,Unmarried,White,Female,40,United-States,>50K,22,0,0
Pru Ruperti,3/7/2006,568-51-9406,67698,State-gov,Masters,14,Never-married,Exec-managerial,Not-in-family,White,Female,38,United-States,<=50K,17,0,0
Aviva Ferraraccio,5/26/1952,756-16-5280,78295,Private,Assoc-voc,11,Married-civ-spouse,Tech-support,Husband,White,Male,40,United-States,>50K,71,7298,0
Grata Dickings,10/14/1990,591-03-6240,19023,Private,7th-8th,4,Never-married,Handlers-cleaners,Not-in-family,White,Female,30,Portugal,<=50K,33,0,0
Ingmar O'Neil,12/24/2007,846-02-8469,40997,Private,HS-grad,9,Divorced,Sales,Unmarried,White,Female,37,United-States,<=50K,16,0,0
Maure Jeppe,5/24/1970,636-73-6513,55172,Private,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,England,<=50K,53,0,0
Tove Leed,5/28/1980,371-98-2044,90637,Private,HS-grad,9,Never-married,Craft-repair,Own-child,Black,Male,40,,<=50K,43,0,0
